token,count
SKELTON OF GOOCHLAND,1
NL IN NEW KENT,1
EASIDE IN NORTHAMPTON,1
VARDEMAN OF GOOCHLAND,1
ERT FOSTER OF K  Q,1
ACS NL IN PR ANNE,1
AGWELL OF NORTHAMPTON,1
S NL IN IS OF WIGHT,1
DAVID GWIN OF HANOVER,1
TER DAVIS OF PR GEO,1
HENRY DICKSON OF PR,1
JOHN NASH OF HENRICO,1
ARD ROUSE OF CAROLINE,1
N SCOGGIN OF PR GEO,1
ORGAN OF IS OF WIGHT,1
LLIAM SHORTE OF SURRY,1
LES NORMAN OF HANOVER,1
AMES HALL OF PR GEO,1
JOHN GILLION OF SURRY,1
M KEYLEY OF BRUNSWICK,1
HRAIM PARHAM OF SURRY,1
MIN HEATH OF PR GEO,1
AFFENREID OF PR GEO,1
POYTHRESS OF PR GEO,1
S SLAUGHTER OF ORANGE,1
GENT OF GOOCHLAND,1
MAS HAYNES OF WARWICK,1
EW WHITEHEAD OF SURRY,1
JOHN MASON OF SURRY,1
OHN DUKE OF BRUNSWICK,1
MMERFORD OF BRUNSWICK,1
AM SMITH OF BRUNSWICK,1
IS TANNER OF PR GEO,1
MAS NEALE OF PR GEO,1
E ISLAND IN GOOCHLAND,1
LIAMS OF IS OF WIGHT,1
OB BURRUS OF CAROLINE,1
WORRELL OF NANSEMOND,1
RANDOLPH OF GOOCHLAND,1
IAM AUSTIN OF HANOVER,1
PH FISHER OF CAROLINE,1
EAD LYNCH OF CAROLINE,1
S QUARLES OF KING WM,1
JOHN JACKSON OF SURRY,1
CLEMENTS OF KING WM,1
CHURCH PAR MIDDLESEX,1
JOHN ALLEN OF SURREY,1
CARY OF IS OF WIGHT,1
S VIVION OF KING GEO,1
IAM BEVERLEY OF ESSEX,1
MARSH L IN PR ANNE,1
JACOB SEAY OF AMELIA,1
SAAC SEAY OF KING WM,1
ERINE BLAIKLEY OF THE,1
HENRY BIBB OF HANOVER,1
AM ECKHOLES OF AMELIA,1
IAM EVANS OF CAROLINE,1
ARD HUBBARD OF AMELIA,1
MIN HUBBARD OF AMELIA,1
AS TOMLINSON OF SURRY,1
FORMERLY IN SPOTSYL,1
JOSEPH LIGON OF HENRI,1
JOHN BLAIR OF THE,1
GORY RAWLINS OF SURRY,1
IBS TOBAC,1
ARD JONES OF PR GEO,1
LLIAM BROWN OF SURREY,1
AM POWELL OF CAROLINE,1
M COURSEY OF CAROLINE,1
CHOLAS DYSON OF HENRI,1
LIAM HARRIS OF SURREY,1
OSEPH WATSON OF HENRI,1
OUND EDLOE OF CHARLES,1
NDREW WADE OF K  Q,1
DS  POLES IN CHARLES,1
SHERWIN OF GLOUCESTER,1
LLIAM POE OF CAROLINE,1
N HUGHES OF GOOCHLAND,1
LIAM WATSON OF AMELIA,1
HARRALSON OF CAROLINE,1
OMAS PRUITT OF AMELIA,1
DRYSDALE PAR K  Q,1
S GODWIN OF NANSEMOND,1
ES FISHER OF PR GEO,1
MES COLEMAN OF ORANGE,1
IAM KENNON OF HANOVER,1
N SIMMONS OF PR GEO,1
IAM CRAWLEY OF AMELIA,1
WILLIAMS OF PR GEO,1
JOHN MILLER OF ESSEX,1
OF CAROLINE,1
ARS PAR NORTHAMPTON,1
HENDRICK OF CAROLINE,1
NOKE MARSH IN CHARLES,1
